SA2_CODE_2021,Median_age_persons
201011001,34
201011002,45
201011005,42
201011006,33
201011007,41
201011008,38
201011481,41
201011482,41
201011483,37
201011484,39
201021009,43
201021010,49
201021011,53
201021012,44
201031013,53
201031014,49
201031015,43
201031016,51
201031017,53
202011018,39
202011019,38
202011020,44
202011021,38
202011022,42
202011023,37
202011024,39
202011025,34
202021026,41
202021027,50
202021028,52
202021029,53
202021030,46
202021031,46
202031032,46
202031033,52
203011034,36
203011035,40
203011036,43
203021037,37
203021039,40
203021040,37
203021042,38
203021043,37
203021044,41
203021045,45
203021046,40
203021047,42
203021485,31
203021486,36
203021487,36
203021488,38
203031048,45
203031049,55
203031051,59
203031052,61
203031053,40
203031489,35
203031490,44
204011054,54
204011055,55
204011056,40
204011057,48
204011058,51
204011059,45
204011060,39
204011061,43
204011062,53
204021063,51
204021064,52
204021065,49
204021066,44
204021067,48
204031068,49
204031069,47
204031070,47
204031071,50
204031072,52
204031073,39
204031075,45
204031491,33
204031492,41
205011076,39
205011077,48
205011078,43
205011079,41
205021080,0
205021081,45
205021082,48
205021083,0
205021084,55
205021085,55
205021086,61
205031087,54
205031088,52
205031089,46
205031090,47
205031091,52
205031092,31
205031093,51
205041094,42
205041095,45
205041096,43
205041098,41
205041493,41
205041494,39
205051099,65
205051100,52
205051101,43
205051102,39
205051103,42
205051104,53
206011106,33
206011107,35
206011109,39
206011495,34
206011496,34
206011497,37
206011498,37
206021110,38
206021112,37
206021499,38
206021500,36
206031113,37
206031115,34
206031116,38
206031501,40
206031502,37
206041117,27
206041118,32
206041119,42
206041120,32
206041121,35
206041124,26
206041125,39
206041127,0
206041503,30
206041504,26
206041505,29
206041506,31
206041507,70
206041508,33
206041509,31
206041510,31
206051128,41
206051129,38
206051130,43
206051134,34
206051511,32
206051512,39
206051513,35
206051514,38
206061135,38
206061136,34
206061138,47
206061515,32
206061516,35
206071139,33
206071140,34
206071141,33
206071142,35
206071143,36
206071145,37
206071517,33
206071518,34
207011146,41
207011147,43
207011148,42
207011149,43
207011150,41
207011152,36
207011154,41
207011155,45
207011519,35
207011520,34
207011521,42
207011522,41
207021156,45
207021157,40
207021159,46
207021160,45
207021424,43
207021425,40
207031161,40
207031162,42
207031163,34
207031164,39
207031165,33
207031166,41
207031167,42
208011168,48
208011169,48
208011170,44
208011171,40
208011172,43
208011173,48
208021174,40
208021176,36
208021177,35
208021178,41
208021179,38
208021180,38
208021181,38
208021182,36
208021426,39
208021427,40
208031183,42
208031184,56
208031185,44
208031186,41
208031187,40
208031188,40
208031189,40
208031190,42
208031191,40
208031192,22
208031193,42
208041194,40
208041195,38
209011196,39
209011197,42
209011198,40
209011199,35
209011200,41
209011201,45
209011202,42
209011203,40
209011204,39
209021205,34
209021428,36
209021429,38
209021523,36
209021524,43
209021525,38
209021526,37
209031209,43
209031210,41
209031211,42
209031212,48
209031213,43
209031214,43
209031215,39
209041216,37
209041217,40
209041220,40
209041221,39
209041223,39
209041224,33
209041225,37
209041431,37
209041432,38
209041433,32
209041435,35
209041436,37
209041437,30
209041527,34
209041528,32
209041529,38
209041530,37
209041531,34
209041532,32
210011226,39
210011227,45
210011228,45
210011230,40
210011231,41
210011533,45
210011534,43
210021232,40
210021233,46
210021234,42
210021235,41
210031236,38
210031237,35
210031439,40
210031440,36
210031535,34
210031536,33
210031537,36
210031538,36
210041240,39
210041539,32
210041540,38
210041541,36
210051242,33
210051243,34
210051245,41
210051246,35
210051247,34
210051248,38
210051250,40
210051441,34
210051442,32
210051443,32
210051445,30
210051542,30
210051543,31
210051544,34
210051545,30
211011251,38
211011254,39
211011255,41
211011256,41
211011257,41
211011258,42
211011259,41
211011260,44
211011446,39
211011447,41
211011448,39
211011449,39
211021261,45
211021262,46
211031263,39
211031265,41
211031266,38
211031267,39
211031268,43
211031450,38
211031451,41
211031452,38
211041269,42
211041270,39
211041271,39
211041272,40
211041273,46
211051274,40
211051275,38
211051276,45
211051277,38
211051278,40
211051279,43
211051280,41
211051281,37
211051282,45
211051283,38
211051284,41
211051285,39
211051286,43
212011289,41
212011546,33
212011547,40
212011548,35
212011549,32
212011550,32
212011551,35
212011552,33
212021293,43
212021295,34
212021297,36
212021299,43
212021453,39
212021454,39
212021455,36
212021456,35
212021553,35
212021554,34
212031300,35
212031303,32
212031304,32
212031306,33
212031308,40
212031457,36
212031458,33
212031555,32
212031556,29
212031557,31
212031558,30
212031559,30
212031560,34
212031561,32
212031562,34
212041309,44
212041310,34
212041312,38
212041313,45
212041316,40
212041317,36
212041318,38
212041459,35
212041460,36
212041563,35
212041564,32
212041565,40
212041566,34
212051319,36
212051321,42
212051322,39
212051323,40
212051324,40
212051325,40
212051326,37
212051327,48
212051567,26
212051568,30
213011328,36
213011329,36
213011331,39
213011332,42
213011333,38
213011334,36
213011335,38
213011336,35
213011337,37
213011338,38
213011339,37
213011340,45
213011569,35
213011570,32
213021341,42
213021342,41
213021343,37
213021344,38
213021345,37
213021346,45
213031347,34
213031348,34
213031349,36
213031350,37
213031351,35
213031352,37
213041353,37
213041358,33
213041359,31
213041360,34
213041461,37
213041462,33
213041463,35
213041571,33
213041572,29
213041573,35
213041574,31
213041575,36
213041576,35
213041577,39
213041578,32
213051361,37
213051362,37
213051363,32
213051368,37
213051464,33
213051466,33
213051467,36
213051468,32
213051579,31
213051580,36
213051581,34
213051582,29
213051583,30
213051584,29
213051585,31
213051586,30
213051587,31
213051588,30
213051589,29
213051590,33
214011370,36
214011371,39
214011372,38
214011373,44
214011374,38
214011375,40
214011376,38
214021377,51
214021378,56
214021379,42
214021381,45
214021382,46
214021383,53
214021384,52
214021385,41
214021591,45
214021592,57
215011386,45
215011387,49
215011388,40
215011389,46
215011390,50
215011391,52
215011392,48
215011393,52
215011394,52
215021395,40
215021396,43
215021398,46
215021399,41
215021469,39
215021470,39
215031400,52
215031401,52
215031402,51
215031403,36
215031404,38
215031405,43
216011406,45
216011407,45
216011408,45
216011409,50
216011410,52
216021411,48
216021412,48
216021413,46
216021414,52
216031415,43
216031416,38
216031418,43
216031419,45
216031593,38
216031594,37
217011420,51
217011421,45
217011422,47
217011423,49
217031471,50
217031472,42
217031473,45
217031474,49
217031475,45
217031476,52
217041477,42
217041478,46
217041479,40
217041480,44
297979799,50
299999499,0
