SA2_CODE_2021,Median_tot_fam_inc_weekly
201011001,2218
201011002,2276
201011005,2270
201011006,1855
201011007,2236
201011008,1517
201011481,1579
201011482,2217
201011483,1800
201011484,1362
201021009,2053
201021010,1625
201021011,1784
201021012,2111
201031013,1286
201031014,1552
201031015,1768
201031016,1220
201031017,1323
202011018,1665
202011019,1528
202011020,1929
202011021,1957
202011022,1580
202011023,2358
202011024,2411
202011025,1941
202021026,2197
202021027,1676
202021028,1746
202021029,1450
202021030,2086
202021031,2547
202031032,1767
202031033,1375
203011034,2325
203011035,2103
203011036,2162
203021037,2070
203021039,2211
203021040,2365
203021042,2575
203021043,2227
203021044,1956
203021045,1473
203021046,2861
203021047,1812
203021485,2216
203021486,1430
203021487,2128
203021488,1228
203031048,1784
203031049,2127
203031051,1429
203031052,1965
203031053,2627
203031489,2399
203031490,2320
204011054,1528
204011055,1479
204011056,1949
204011057,1708
204011058,1755
204011059,1483
204011060,2126
204011061,1375
204011062,1592
204021063,1521
204021064,1626
204021065,1808
204021066,1732
204021067,1847
204031068,1899
204031069,1826
204031070,1915
204031071,1673
204031072,1657
204031073,1905
204031075,2125
204031491,2266
204031492,1606
205011076,1799
205011077,1782
205011078,1846
205011079,1993
205021080,0
205021081,1516
205021082,1619
205021083,0
205021084,1317
205021085,1280
205021086,1314
205031087,1466
205031088,1050
205031089,1725
205031090,1744
205031091,1490
205031092,2374
205031093,1480
205041094,1715
205041095,1441
205041096,1263
205041098,1994
205041493,1847
205041494,2082
205051099,1124
205051100,1476
205051101,1726
205051102,1837
205051103,1777
205051104,1343
206011106,2834
206011107,2539
206011109,2761
206011495,2718
206011496,2880
206011497,2413
206011498,2645
206021110,3138
206021112,2710
206021499,3164
206021500,3203
206031113,3024
206031115,2221
206031116,2926
206031501,2926
206031502,2896
206041117,2064
206041118,2462
206041119,3733
206041120,3083
206041121,3063
206041124,2567
206041125,3284
206041127,0
206041503,2248
206041504,1520
206041505,1945
206041506,2475
206041507,7000
206041508,2681
206041509,2385
206041510,2397
206051128,3335
206051129,3210
206051130,3285
206051134,2894
206051511,2967
206051512,3091
206051513,2719
206051514,2787
206061135,3376
206061136,3113
206061138,3904
206061515,2935
206061516,3086
206071139,3024
206071140,3081
206071141,2817
206071142,3072
206071143,3207
206071145,3533
206071517,3516
206071518,2664
207011146,3422
207011147,2556
207011148,2726
207011149,3294
207011150,3571
207011152,3203
207011154,3166
207011155,3538
207011519,3536
207011520,3116
207011521,3364
207011522,3259
207021156,2206
207021157,1957
207021159,2419
207021160,2231
207021424,2158
207021425,1979
207031161,2557
207031162,2371
207031163,1914
207031164,2304
207031165,2119
207031166,1972
207031167,3092
208011168,3296
208011169,3808
208011170,3421
208011171,2975
208011172,3383
208011173,3310
208021174,2863
208021176,2537
208021177,3012
208021178,2988
208021179,3216
208021180,2540
208021181,2798
208021182,2670
208021426,2656
208021427,2627
208031183,2549
208031184,2250
208031185,2370
208031186,2411
208031187,2313
208031188,2470
208031189,2706
208031190,2604
208031191,2513
208031192,0
208031193,2807
208041194,3488
208041195,3292
209011196,1966
209011197,2477
209011198,2772
209011199,2139
209011200,3041
209011201,3549
209011202,2549
209011203,2487
209011204,2410
209021205,2091
209021428,2287
209021429,2455
209021523,1978
209021524,1701
209021525,1910
209021526,2211
209031209,2843
209031210,2402
209031211,2077
209031212,2483
209031213,2802
209031214,3053
209031215,2734
209041216,2256
209041217,1689
209041220,2053
209041221,1888
209041223,1387
209041224,2127
209041225,2131
209041431,1832
209041432,1599
209041433,1954
209041435,2346
209041436,2147
209041437,2027
209041527,2342
209041528,2261
209041529,1391
209041530,1593
209041531,2103
209041532,2173
210011226,2292
210011227,0
210011228,2232
210011230,2758
210011231,2956
210011533,2039
210011534,2257
210021232,2656
210021233,2860
210021234,2393
210021235,2237
210031236,2380
210031237,1691
210031439,2577
210031440,1864
210031535,1830
210031536,2102
210031537,2623
210031538,2470
210041240,2315
210041539,2241
210041540,2169
210041541,2231
210051242,1280
210051243,1245
210051245,1936
210051246,2315
210051247,1342
210051248,3499
210051250,1794
210051441,1664
210051442,2027
210051443,1885
210051445,1984
210051542,1845
210051543,1798
210051544,1705
210051545,1590
211011251,1975
211011254,2178
211011255,2886
211011256,2305
211011257,2515
211011258,2509
211011259,2106
211011260,2151
211011446,1997
211011447,2071
211011448,2229
211011449,2291
211021261,2717
211021262,3051
211031263,2187
211031265,2674
211031266,2157
211031267,2404
211031268,2639
211031450,2037
211031451,2221
211031452,2228
211041269,2120
211041270,2487
211041271,2393
211041272,2354
211041273,2179
211051274,2478
211051275,2316
211051276,1971
211051277,2050
211051278,2189
211051279,2179
211051280,2388
211051281,2245
211051282,2432
211051283,2263
211051284,2477
211051285,2230
211051286,1792
212011289,2402
212011546,2322
212011547,2162
212011548,2104
212011549,1879
212011550,2054
212011551,1509
212011552,1959
212021293,2311
212021295,1391
212021297,1633
212021299,2640
212021453,1992
212021454,1893
212021455,2083
212021456,1809
212021553,2456
212021554,2268
212031300,1685
212031303,2314
212031304,1984
212031306,2286
212031308,2126
212031457,2350
212031458,2043
212031555,2357
212031556,2191
212031557,1985
212031558,2036
212031559,2183
212031560,1819
212031561,1654
212031562,1574
212041309,1950
212041310,1743
212041312,1640
212041313,2335
212041316,1722
212041317,1470
212041318,1498
212041459,1610
212041460,1501
212041563,1399
212041564,1414
212041565,1610
212041566,2455
212051319,2449
212051321,2180
212051322,2136
212051323,2353
212051324,2408
212051325,2134
212051326,2331
212051327,2124
212051567,1630
212051568,1856
213011328,1733
213011329,1998
213011331,1667
213011332,1762
213011333,1329
213011334,1310
213011335,1327
213011336,1806
213011337,1491
213011338,1533
213011339,2023
213011340,2357
213011569,1586
213011570,2218
213021341,2475
213021342,1946
213021343,2186
213021344,3213
213021345,2201
213021346,3235
213031347,1947
213031348,2296
213031349,2403
213031350,3149
213031351,2586
213031352,3216
213041353,2156
213041358,1794
213041359,2191
213041360,2350
213041461,2054
213041462,2220
213041463,2277
213041571,1803
213041572,2057
213041573,2687
213041574,2337
213041575,2332
213041576,1765
213041577,1303
213041578,1511
213051361,1908
213051362,1686
213051363,2241
213051368,2177
213051464,2445
213051466,2576
213051467,1614
213051468,2172
213051579,2325
213051580,2363
213051581,2504
213051582,2047
213051583,2127
213051584,2121
213051585,1958
213051586,2239
213051587,2322
213051588,1941
213051589,1962
213051590,1912
214011370,1993
214011371,1941
214011372,1643
214011373,2474
214011374,2274
214011375,2081
214011376,2378
214021377,1794
214021378,2593
214021379,1839
214021381,2956
214021382,2481
214021383,1853
214021384,1513
214021385,2129
214021591,2023
214021592,1969
215011386,1608
215011387,1792
215011388,1820
215011389,2007
215011390,1591
215011391,1399
215011392,1554
215011393,1655
215011394,1485
215021395,2040
215021396,1645
215021398,1678
215021399,1682
215021469,1484
215021470,1784
215031400,1468
215031401,1420
215031402,1412
215031403,1468
215031404,1802
215031405,1682
216011406,1741
216011407,1598
216011408,1708
216011409,1532
216011410,1388
216021411,1450
216021412,1579
216021413,1577
216021414,1445
216031415,1455
216031416,1955
216031418,1967
216031419,1780
216031593,2200
216031594,1357
217011420,1654
217011421,1652
217011422,1551
217011423,1755
217031471,1533
217031472,1701
217031473,1863
217031474,1632
217031475,1763
217031476,1522
217041477,1905
217041478,1911
217041479,1892
217041480,1899
297979799,0
299999499,0
