SA2_CODE_2021,Median_rent_weekly
201011001,370
201011002,313
201011005,330
201011006,360
201011007,350
201011008,260
201011481,288
201011482,300
201011483,295
201011484,260
201021009,330
201021010,250
201021011,330
201021012,270
201031013,200
201031014,218
201031015,250
201031016,240
201031017,200
202011018,280
202011019,280
202011020,295
202011021,290
202011022,290
202011023,380
202011024,400
202011025,330
202021026,320
202021027,310
202021028,280
202021029,260
202021030,351
202021031,392
202031032,230
202031033,170
203011034,386
203011035,308
203011036,300
203021037,350
203021039,340
203021040,335
203021042,365
203021043,370
203021044,375
203021045,300
203021046,360
203021047,340
203021485,420
203021486,280
203021487,390
203021488,254
203031048,380
203031049,390
203031051,340
203031052,400
203031053,500
203031489,420
203031490,420
204011054,250
204011055,250
204011056,330
204011057,320
204011058,285
204011059,250
204011060,265
204011061,260
204011062,300
204021063,250
204021064,220
204021065,243
204021066,260
204021067,250
204031068,300
204031069,298
204031070,260
204031071,250
204031072,210
204031073,290
204031075,280
204031491,385
204031492,260
205011076,330
205011077,250
205011078,300
205011079,320
205021080,0
205021081,280
205021082,250
205021083,0
205021084,270
205021085,190
205021086,310
205031087,250
205031088,346
205031089,280
205031090,270
205031091,330
205031092,100
205031093,298
205041094,230
205041095,210
205041096,215
205041098,250
205041493,250
205041494,300
205051099,20
205051100,200
205051101,250
205051102,236
205051103,280
205051104,240
206011106,421
206011107,365
206011109,421
206011495,431
206011496,450
206011497,416
206011498,450
206021110,381
206021112,396
206021499,461
206021500,490
206031113,370
206031115,324
206031116,400
206031501,382
206031502,371
206041117,365
206041118,411
206041119,480
206041120,401
206041121,416
206041124,396
206041125,457
206041127,0
206041503,375
206041504,361
206041505,376
206041506,381
206041507,0
206041508,430
206041509,408
206041510,390
206051128,493
206051129,415
206051130,522
206051134,384
206051511,585
206051512,421
206051513,381
206051514,392
206061135,421
206061136,421
206061138,490
206061515,426
206061516,395
206071139,425
206071140,541
206071141,425
206071142,451
206071143,481
206071145,500
206071517,508
206071518,400
207011146,455
207011147,461
207011148,554
207011149,490
207011150,522
207011152,411
207011154,466
207011155,475
207011519,401
207011520,400
207011521,501
207011522,456
207021156,460
207021157,450
207021159,513
207021160,475
207021424,497
207021425,460
207031161,420
207031162,410
207031163,391
207031164,438
207031165,401
207031166,439
207031167,462
208011168,612
208011169,600
208011170,602
208011171,450
208011172,471
208011173,486
208021174,491
208021176,395
208021177,426
208021178,483
208021179,426
208021180,416
208021181,390
208021182,391
208021426,508
208021427,490
208031183,510
208031184,504
208031185,420
208031186,381
208031187,412
208031188,421
208031189,440
208031190,392
208031191,440
208031192,486
208031193,400
208041194,410
208041195,421
209011196,385
209011197,400
209011198,401
209011199,353
209011200,440
209011201,451
209011202,415
209011203,400
209011204,390
209021205,369
209021428,391
209021429,400
209021523,358
209021524,371
209021525,349
209021526,361
209031209,446
209031210,420
209031211,306
209031212,300
209031213,480
209031214,462
209031215,429
209041216,381
209041217,380
209041220,365
209041221,369
209041223,350
209041224,361
209041225,375
209041431,360
209041432,350
209041433,381
209041435,400
209041436,380
209041437,391
209041527,400
209041528,386
209041529,350
209041530,366
209041531,378
209041532,390
210011226,401
210011227,0
210011228,396
210011230,435
210011231,450
210011533,400
210011534,408
210021232,430
210021233,361
210021234,400
210021235,365
210031236,401
210031237,380
210031439,423
210031440,376
210031535,369
210031536,369
210031537,401
210031538,400
210041240,371
210041539,396
210041540,351
210041541,376
210051242,331
210051243,330
210051245,371
210051246,430
210051247,346
210051248,250
210051250,351
210051441,350
210051442,371
210051443,375
210051445,400
210051542,396
210051543,381
210051544,375
210051545,395
211011251,376
211011254,425
211011255,435
211011256,425
211011257,450
211011258,471
211011259,427
211011260,426
211011446,376
211011447,370
211011448,405
211011449,366
211021261,451
211021262,481
211031263,361
211031265,431
211031266,381
211031267,385
211031268,436
211031450,371
211031451,399
211031452,410
211041269,396
211041270,406
211041271,391
211041272,426
211041273,496
211051274,400
211051275,443
211051276,350
211051277,396
211051278,369
211051279,360
211051280,365
211051281,400
211051282,400
211051283,365
211051284,375
211051285,360
211051286,315
212011289,370
212011546,391
212011547,311
212011548,320
212011549,346
212011550,366
212011551,335
212011552,369
212021293,380
212021295,320
212021297,361
212021299,400
212021453,369
212021454,383
212021455,370
212021456,360
212021553,430
212021554,400
212031300,342
212031303,408
212031304,380
212031306,416
212031308,370
212031457,430
212031458,392
212031555,421
212031556,410
212031557,400
212031558,401
212031559,401
212031560,355
212031561,355
212031562,350
212041309,400
212041310,381
212041312,341
212041313,450
212041316,351
212041317,356
212041318,355
212041459,331
212041460,346
212041563,310
212041564,341
212041565,381
212041566,520
212051319,415
212051321,500
212051322,462
212051323,485
212051324,470
212051325,430
212051326,415
212051327,481
212051567,380
212051568,401
213011328,320
213011329,400
213011331,350
213011332,360
213011333,323
213011334,330
213011335,323
213011336,340
213011337,341
213011338,346
213011339,366
213011340,412
213011569,350
213011570,400
213021341,390
213021342,341
213021343,400
213021344,460
213021345,361
213021346,450
213031347,350
213031348,355
213031349,396
213031350,414
213031351,351
213031352,462
213041353,340
213041358,340
213041359,400
213041360,400
213041461,400
213041462,411
213041463,401
213041571,350
213041572,371
213041573,380
213041574,429
213041575,380
213041576,321
213041577,300
213041578,321
213051361,341
213051362,340
213051363,380
213051368,351
213051464,401
213051466,410
213051467,315
213051468,360
213051579,361
213051580,390
213051581,400
213051582,385
213051583,380
213051584,391
213051585,369
213051586,402
213051587,395
213051588,377
213051589,350
213051590,336
214011370,370
214011371,335
214011372,341
214011373,420
214011374,365
214011375,351
214011376,450
214021377,405
214021378,424
214021379,330
214021381,512
214021382,496
214021383,376
214021384,350
214021385,380
214021591,400
214021592,410
215011386,250
215011387,151
215011388,245
215011389,185
215011390,170
215011391,182
215011392,214
215011393,150
215011394,166
215021395,250
215021396,220
215021398,150
215021399,240
215021469,260
215021470,300
215031400,158
215031401,180
215031402,200
215031403,220
215031404,235
215031405,180
216011406,285
216011407,210
216011408,200
216011409,213
216011410,200
216021411,250
216021412,210
216021413,210
216021414,290
216031415,250
216031416,270
216031418,236
216031419,240
216031593,380
216031594,270
217011420,180
217011421,235
217011422,250
217011423,170
217031471,240
217031472,260
217031473,250
217031474,200
217031475,231
217031476,285
217041477,200
217041478,280
217041479,300
217041480,287
297979799,0
299999499,0
